1600 3170
0 1 45
0 40 343
1 2 11
1 41 797
2 3 595
2 42 950
3 4 745
3 43 922
4 5 599
4 44 589
5 6 601
5 45 528
6 7 34
6 46 452
7 8 696
7 47 479
8 9 854
8 48 969
9 10 450
9 49 729
10 11 835
10 50 731
11 12 639
11 51 868
11 1412 530
12 13 103
12 52 172
13 14 511
13 53 521
14 15 889
14 54 96
14 897 85
15 16 752
15 55 745
16 17 165
16 56 725
17 18 874
17 57 335
18 19 624
18 58 742
19 20 556
19 59 396
20 21 547
20 60 786
21 22 608
21 61 73
22 23 31
22 62 796
23 24 111
23 63 63
24 25 791
24 64 222
25 26 157
25 65 865
26 27 115
26 66 74
27 28 852
27 67 418
27 1581 452
28 29 976
28 68 201
29 30 628
29 69 627
30 31 533
30 70 184
31 32 548
31 71 726
32 33 1
32 72 569
33 34 504
33 73 61
34 35 389
34 74 226
35 36 968
35 75 266
36 37 549
36 76 42
37 38 244
37 77 25
38 39 210
38 78 414
39 79 810
40 41 877
40 80 307
41 42 18
41 81 131
42 43 886
42 82 899
42 1162 701
43 44 896
43 83 478
44 45 48
44 84 946
45 46 537
45 85 512
46 47 21
46 86 260
47 48 822
47 87 739
48 49 348
48 88 337
49 50 81
49 89 63
50 51 337
50 90 308
51 52 655
51 91 730
52 53 417
52 92 664
53 54 27
53 93 186
54 55 190
54 94 642
55 56 290
55 95 353
56 57 103
56 96 675
57 58 962
57 97 154
57 1087 156
58 59 764
58 98 585
59 60 55
59 99 423
60 61 432
60 100 921
61 62 555
61 101 561
62 63 202
62 102 905
63 64 940
63 103 550
64 65 483
64 104 197
65 66 422
65 105 122
66 67 514
66 106 62
67 68 739
67 107 268
68 69 6
68 108 173
69 70 269
69 109 412
70 71 734
70 110 257
71 72 495
71 111 541
72 73 573
72 112 562
73 74 409
73 113 845
74 75 756
74 114 738
75 76 112
75 115 79
76 77 678
76 116 857
77 78 182
77 117 999
78 79 176
78 118 84
79 119 968
80 81 256
80 120 456
81 82 327
81 121 291
82 83 489
82 122 598
